"State","Crime","Type of Crime","Year","Count"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1960","406"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1961","427"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1962","316"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1963","340"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1964","316"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1965","395"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1966","384"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1967","415"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1968","421"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1969","485"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1970","404"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1971","524"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1972","496"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1973","468"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1974","536"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1975","577"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1976","553"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1977","524"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1978","499"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1979","496"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1980","509"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1981","465"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1982","417"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1983","364"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1984","374"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1985","396"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1986","409"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1987","380"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1988","408"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1989","421"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1990","467"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1991","469"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1992","455"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1993","484"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1994","501"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1995","475"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1996","444"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1997","426"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1998","354"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1999","345"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","2000","329"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","2001","379"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","2002","303"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","2003","299"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","2004","254"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","2005","374"
"Alabama","Forcible rape","Violent Crime","1960","281"
"Alabama","Forcible rape","Violent Crime","1961","252"
"Alabama","Forcible rape","Violent Crime","1962","218"
"Alabama","Forcible rape","Violent Crime","1963","192"
"Alabama","Forcible rape","Violent Crime","1964","397"
"Alabama","Forcible rape","Violent Crime","1965","367"
"Alabama","Forcible rape","Violent Crime","1966","341"
"Alabama","Forcible rape","Violent Crime","1967","371"
"Alabama","Forcible rape","Violent Crime","1968","396"
"Alabama","Forcible rape","Violent Crime","1969","494"
"Alabama","Forcible rape","Violent Crime","1970","637"
"Alabama","Forcible rape","Violent Crime","1971","661"
"Alabama","Forcible rape","Violent Crime","1972","660"
"Alabama","Forcible rape","Violent Crime","1973","751"
"Alabama","Forcible rape","Violent Crime","1974","811"
"Alabama","Forcible rape","Violent Crime","1975","738"
"Alabama","Forcible rape","Violent Crime","1976","794"
"Alabama","Forcible rape","Violent Crime","1977","929"
"Alabama","Forcible rape","Violent Crime","1978","954"
"Alabama","Forcible rape","Violent Crime","1979","1037"
"Alabama","Forcible rape","Violent Crime","1980","1158"
"Alabama","Forcible rape","Violent Crime","1981","1021"
"Alabama","Forcible rape","Violent Crime","1982","1026"
"Alabama","Forcible rape","Violent Crime","1983","931"
"Alabama","Forcible rape","Violent Crime","1984","1002"
"Alabama","Forcible rape","Violent Crime","1985","1079"
"Alabama","Forcible rape","Violent Crime","1986","1150"
"Alabama","Forcible rape","Violent Crime","1987","1137"
"Alabama","Forcible rape","Violent Crime","1988","1228"
"Alabama","Forcible rape","Violent Crime","1989","1276"
"Alabama","Forcible rape","Violent Crime","1990","1319"
"Alabama","Forcible rape","Violent Crime","1991","1455"
"Alabama","Forcible rape","Violent Crime","1992","1704"
"Alabama","Forcible rape","Violent Crime","1993","1471"
"Alabama","Forcible rape","Violent Crime","1994","1487"
"Alabama","Forcible rape","Violent Crime","1995","1350"
"Alabama","Forcible rape","Violent Crime","1996","1397"
"Alabama","Forcible rape","Violent Crime","1997","1396"
"Alabama","Forcible rape","Violent Crime","1998","1443"
"Alabama","Forcible rape","Violent Crime","1999","1513"
"Alabama","Forcible rape","Violent Crime","2000","1482"
"Alabama","Forcible rape","Violent Crime","2001","1369"
"Alabama","Forcible rape","Violent Crime","2002","1664"
"Alabama","Forcible rape","Violent Crime","2003","1656"
"Alabama","Forcible rape","Violent Crime","2004","1742"
"Alabama","Forcible rape","Violent Crime","2005","1564"
"Alabama","Robbery","Violent Crime","1960","898"
"Alabama","Robbery","Violent Crime","1961","630"
"Alabama","Robbery","Violent Crime","1962","754"
"Alabama","Robbery","Violent Crime","1963","828"
"Alabama","Robbery","Violent Crime","1964","992"
"Alabama","Robbery","Violent Crime","1965","992"
"Alabama","Robbery","Violent Crime","1966","1124"
"Alabama","Robbery","Violent Crime","1967","1167"
"Alabama","Robbery","Violent Crime","1968","1462"
"Alabama","Robbery","Violent Crime","1969","1448"
"Alabama","Robbery","Violent Crime","1970","1731"
"Alabama","Robbery","Violent Crime","1971","2005"
"Alabama","Robbery","Violent Crime","1972","2407"
"Alabama","Robbery","Violent Crime","1973","2809"
"Alabama","Robbery","Violent Crime","1974","3562"
"Alabama","Robbery","Violent Crime","1975","4446"
"Alabama","Robbery","Violent Crime","1976","3520"
"Alabama","Robbery","Violent Crime","1977","3572"
"Alabama","Robbery","Violent Crime","1978","3708"
"Alabama","Robbery","Violent Crime","1979","4127"
"Alabama","Robbery","Violent Crime","1980","5102"
"Alabama","Robbery","Violent Crime","1981","4952"
"Alabama","Robbery","Violent Crime","1982","4417"
"Alabama","Robbery","Violent Crime","1983","3895"
"Alabama","Robbery","Violent Crime","1984","3833"
"Alabama","Robbery","Violent Crime","1985","4237"
"Alabama","Robbery","Violent Crime","1986","4523"
"Alabama","Robbery","Violent Crime","1987","4581"
"Alabama","Robbery","Violent Crime","1988","4860"
"Alabama","Robbery","Violent Crime","1989","5515"
"Alabama","Robbery","Violent Crime","1990","5805"
"Alabama","Robbery","Violent Crime","1991","6246"
"Alabama","Robbery","Violent Crime","1992","6819"
"Alabama","Robbery","Violent Crime","1993","6677"
"Alabama","Robbery","Violent Crime","1994","7223"
"Alabama","Robbery","Violent Crime","1995","7900"
"Alabama","Robbery","Violent Crime","1996","7124"
"Alabama","Robbery","Violent Crime","1997","6931"
"Alabama","Robbery","Violent Crime","1998","5698"
"Alabama","Robbery","Violent Crime","1999","5297"
"Alabama","Robbery","Violent Crime","2000","5702"
"Alabama","Robbery","Violent Crime","2001","5584"
"Alabama","Robbery","Violent Crime","2002","5962"
"Alabama","Robbery","Violent Crime","2003","6038"
"Alabama","Robbery","Violent Crime","2004","6042"
"Alabama","Robbery","Violent Crime","2005","6447"
"Alabama","Aggravated assault","Violent Crime","1960","4512"
"Alabama","Aggravated assault","Violent Crime","1961","4255"
"Alabama","Aggravated assault","Violent Crime","1962","3995"
"Alabama","Aggravated assault","Violent Crime","1963","4755"
"Alabama","Aggravated assault","Violent Crime","1964","5555"
"Alabama","Aggravated assault","Violent Crime","1965","5162"
"Alabama","Aggravated assault","Violent Crime","1966","6249"
"Alabama","Aggravated assault","Violent Crime","1967","6495"
"Alabama","Aggravated assault","Violent Crime","1968","6009"
"Alabama","Aggravated assault","Violent Crime","1969","6415"
"Alabama","Aggravated assault","Violent Crime","1970","7413"
"Alabama","Aggravated assault","Violent Crime","1971","7645"
"Alabama","Aggravated assault","Violent Crime","1972","7431"
"Alabama","Aggravated assault","Violent Crime","1973","8362"
"Alabama","Aggravated assault","Violent Crime","1974","8429"
"Alabama","Aggravated assault","Violent Crime","1975","8440"
"Alabama","Aggravated assault","Violent Crime","1976","9381"
"Alabama","Aggravated assault","Violent Crime","1977","10268"
"Alabama","Aggravated assault","Violent Crime","1978","10521"
"Alabama","Aggravated assault","Violent Crime","1979","9918"
"Alabama","Aggravated assault","Violent Crime","1980","10551"
"Alabama","Aggravated assault","Violent Crime","1981","11985"
"Alabama","Aggravated assault","Violent Crime","1982","11793"
"Alabama","Aggravated assault","Violent Crime","1983","11281"
"Alabama","Aggravated assault","Violent Crime","1984","11995"
"Alabama","Aggravated assault","Violent Crime","1985","12686"
"Alabama","Aggravated assault","Violent Crime","1986","16534"
"Alabama","Aggravated assault","Violent Crime","1987","16735"
"Alabama","Aggravated assault","Violent Crime","1988","16556"
"Alabama","Aggravated assault","Violent Crime","1989","17117"
"Alabama","Aggravated assault","Violent Crime","1990","21039"
"Alabama","Aggravated assault","Violent Crime","1991","26348"
"Alabama","Aggravated assault","Violent Crime","1992","27074"
"Alabama","Aggravated assault","Violent Crime","1993","24044"
"Alabama","Aggravated assault","Violent Crime","1994","19633"
"Alabama","Aggravated assault","Violent Crime","1995","17169"
"Alabama","Aggravated assault","Violent Crime","1996","15194"
"Alabama","Aggravated assault","Violent Crime","1997","15626"
"Alabama","Aggravated assault","Violent Crime","1998","14791"
"Alabama","Aggravated assault","Violent Crime","1999","14266"
"Alabama","Aggravated assault","Violent Crime","2000","14107"
"Alabama","Aggravated assault","Violent Crime","2001","12250"
"Alabama","Aggravated assault","Violent Crime","2002","12002"
"Alabama","Aggravated assault","Violent Crime","2003","11338"
"Alabama","Aggravated assault","Violent Crime","2004","11286"
"Alabama","Aggravated assault","Violent Crime","2005","11293"
"Alabama","Burglary","Property Crime","1960","11626"
"Alabama","Burglary","Property Crime","1961","11205"
"Alabama","Burglary","Property Crime","1962","11722"
"Alabama","Burglary","Property Crime","1963","12614"
"Alabama","Burglary","Property Crime","1964","15898"
"Alabama","Burglary","Property Crime","1965","16398"
"Alabama","Burglary","Property Crime","1966","18551"
"Alabama","Burglary","Property Crime","1967","20227"
"Alabama","Burglary","Property Crime","1968","22403"
"Alabama","Burglary","Property Crime","1969","23559"
"Alabama","Burglary","Property Crime","1970","26739"
"Alabama","Burglary","Property Crime","1971","27547"
"Alabama","Burglary","Property Crime","1972","27714"
"Alabama","Burglary","Property Crime","1973","31754"
"Alabama","Burglary","Property Crime","1974","37841"
"Alabama","Burglary","Property Crime","1975","42059"
"Alabama","Burglary","Property Crime","1976","42879"
"Alabama","Burglary","Property Crime","1977","41901"
"Alabama","Burglary","Property Crime","1978","46001"
"Alabama","Burglary","Property Crime","1979","48517"
"Alabama","Burglary","Property Crime","1980","58952"
"Alabama","Burglary","Property Crime","1981","56811"
"Alabama","Burglary","Property Crime","1982","49531"
"Alabama","Burglary","Property Crime","1983","42485"
"Alabama","Burglary","Property Crime","1984","39970"
"Alabama","Burglary","Property Crime","1985","41612"
"Alabama","Burglary","Property Crime","1986","46974"
"Alabama","Burglary","Property Crime","1987","48927"
"Alabama","Burglary","Property Crime","1988","50920"
"Alabama","Burglary","Property Crime","1989","47224"
"Alabama","Burglary","Property Crime","1990","44585"
"Alabama","Burglary","Property Crime","1991","51873"
"Alabama","Burglary","Property Crime","1992","49053"
"Alabama","Burglary","Property Crime","1993","45578"
"Alabama","Burglary","Property Crime","1994","44064"
"Alabama","Burglary","Property Crime","1995","43586"
"Alabama","Burglary","Property Crime","1996","42821"
"Alabama","Burglary","Property Crime","1997","43786"
"Alabama","Burglary","Property Crime","1998","41965"
"Alabama","Burglary","Property Crime","1999","38648"
"Alabama","Burglary","Property Crime","2000","40331"
"Alabama","Burglary","Property Crime","2001","40642"
"Alabama","Burglary","Property Crime","2002","42578"
"Alabama","Burglary","Property Crime","2003","43245"
"Alabama","Burglary","Property Crime","2004","44666"
"Alabama","Burglary","Property Crime","2005","43473"
"Alabama","Larceny-theft","Property Crime","1960","19344"
"Alabama","Larceny-theft","Property Crime","1961","18801"
"Alabama","Larceny-theft","Property Crime","1962","21306"
"Alabama","Larceny-theft","Property Crime","1963","22874"
"Alabama","Larceny-theft","Property Crime","1964","26713"
"Alabama","Larceny-theft","Property Crime","1965","28115"
"Alabama","Larceny-theft","Property Crime","1966","30583"
"Alabama","Larceny-theft","Property Crime","1967","31682"
"Alabama","Larceny-theft","Property Crime","1968","34508"
"Alabama","Larceny-theft","Property Crime","1969","36644"
"Alabama","Larceny-theft","Property Crime","1970","40779"
"Alabama","Larceny-theft","Property Crime","1971","40841"
"Alabama","Larceny-theft","Property Crime","1972","38493"
"Alabama","Larceny-theft","Property Crime","1973","39206"
"Alabama","Larceny-theft","Property Crime","1974","46813"
"Alabama","Larceny-theft","Property Crime","1975","59470"
"Alabama","Larceny-theft","Property Crime","1976","72832"
"Alabama","Larceny-theft","Property Crime","1977","69442"
"Alabama","Larceny-theft","Property Crime","1978","74387"
"Alabama","Larceny-theft","Property Crime","1979","83791"
"Alabama","Larceny-theft","Property Crime","1980","102029"
"Alabama","Larceny-theft","Property Crime","1981","105471"
"Alabama","Larceny-theft","Property Crime","1982","104740"
"Alabama","Larceny-theft","Property Crime","1983","94279"
"Alabama","Larceny-theft","Property Crime","1984","89198"
"Alabama","Larceny-theft","Property Crime","1985","88108"
"Alabama","Larceny-theft","Property Crime","1986","93396"
"Alabama","Larceny-theft","Property Crime","1987","99260"
"Alabama","Larceny-theft","Property Crime","1988","103282"
"Alabama","Larceny-theft","Property Crime","1989","106771"
"Alabama","Larceny-theft","Property Crime","1990","111336"
"Alabama","Larceny-theft","Property Crime","1991","118151"
"Alabama","Larceny-theft","Property Crime","1992","117801"
"Alabama","Larceny-theft","Property Crime","1993","111878"
"Alabama","Larceny-theft","Property Crime","1994","119951"
"Alabama","Larceny-theft","Property Crime","1995","120967"
"Alabama","Larceny-theft","Property Crime","1996","123350"
"Alabama","Larceny-theft","Property Crime","1997","127616"
"Alabama","Larceny-theft","Property Crime","1998","120943"
"Alabama","Larceny-theft","Property Crime","1999","119616"
"Alabama","Larceny-theft","Property Crime","2000","127399"
"Alabama","Larceny-theft","Property Crime","2001","119992"
"Alabama","Larceny-theft","Property Crime","2002","123932"
"Alabama","Larceny-theft","Property Crime","2003","124039"
"Alabama","Larceny-theft","Property Crime","2004","123650"
"Alabama","Larceny-theft","Property Crime","2005","120780"
"Alabama","Motor vehicle theft","Property Crime","1960","2853"
"Alabama","Motor vehicle theft","Property Crime","1961","2535"
"Alabama","Motor vehicle theft","Property Crime","1962","2801"
"Alabama","Motor vehicle theft","Property Crime","1963","3033"
"Alabama","Motor vehicle theft","Property Crime","1964","3679"
"Alabama","Motor vehicle theft","Property Crime","1965","3702"
"Alabama","Motor vehicle theft","Property Crime","1966","4606"
"Alabama","Motor vehicle theft","Property Crime","1967","5170"
"Alabama","Motor vehicle theft","Property Crime","1968","6086"
"Alabama","Motor vehicle theft","Property Crime","1969","6045"
"Alabama","Motor vehicle theft","Property Crime","1970","7696"
"Alabama","Motor vehicle theft","Property Crime","1971","7696"
"Alabama","Motor vehicle theft","Property Crime","1972","6846"
"Alabama","Motor vehicle theft","Property Crime","1973","8039"
"Alabama","Motor vehicle theft","Property Crime","1974","9322"
"Alabama","Motor vehicle theft","Property Crime","1975","9767"
"Alabama","Motor vehicle theft","Property Crime","1976","9614"
"Alabama","Motor vehicle theft","Property Crime","1977","10359"
"Alabama","Motor vehicle theft","Property Crime","1978","11319"
"Alabama","Motor vehicle theft","Property Crime","1979","12064"
"Alabama","Motor vehicle theft","Property Crime","1980","12210"
"Alabama","Motor vehicle theft","Property Crime","1981","11129"
"Alabama","Motor vehicle theft","Property Crime","1982","10777"
"Alabama","Motor vehicle theft","Property Crime","1983","9126"
"Alabama","Motor vehicle theft","Property Crime","1984","9319"
"Alabama","Motor vehicle theft","Property Crime","1985","10395"
"Alabama","Motor vehicle theft","Property Crime","1986","10821"
"Alabama","Motor vehicle theft","Property Crime","1987","10731"
"Alabama","Motor vehicle theft","Property Crime","1988","11007"
"Alabama","Motor vehicle theft","Property Crime","1989","12249"
"Alabama","Motor vehicle theft","Property Crime","1990","14053"
"Alabama","Motor vehicle theft","Property Crime","1991","14858"
"Alabama","Motor vehicle theft","Property Crime","1992","14983"
"Alabama","Motor vehicle theft","Property Crime","1993","14142"
"Alabama","Motor vehicle theft","Property Crime","1994","14000"
"Alabama","Motor vehicle theft","Property Crime","1995","14741"
"Alabama","Motor vehicle theft","Property Crime","1996","15632"
"Alabama","Motor vehicle theft","Property Crime","1997","15407"
"Alabama","Motor vehicle theft","Property Crime","1998","14871"
"Alabama","Motor vehicle theft","Property Crime","1999","13134"
"Alabama","Motor vehicle theft","Property Crime","2000","12809"
"Alabama","Motor vehicle theft","Property Crime","2001","12619"
"Alabama","Motor vehicle theft","Property Crime","2002","13890"
"Alabama","Motor vehicle theft","Property Crime","2003","14957"
"Alabama","Motor vehicle theft","Property Crime","2004","14024"
"Alabama","Motor vehicle theft","Property Crime","2005","13140"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1960","23"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1961","27"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1962","11"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1963","16"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1964","26"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1965","16"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1966","35"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1967","26"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1968","29"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1969","30"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1970","37"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1971","42"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1972","31"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1973","33"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1974","46"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1975","43"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1976","43"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1977","44"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1978","52"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1979","54"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1980","39"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1981","60"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1982","81"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1983","66"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1984","58"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1985","51"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1986","46"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1987","53"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1988","29"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1989","42"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1990","41"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1991","42"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1992","44"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1993","54"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1994","38"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1995","55"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1996","45"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1997","54"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1998","41"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","1999","52"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","2000","27"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","2001","39"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","2002","33"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","2003","39"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","2004","37"
"Alaska","Murder and nonnegligent Manslaughter","Violent Crime","2005","32"
"Alaska","Forcible rape","Violent Crime","1960","47"
"Alaska","Forcible rape","Violent Crime","1961","31"
"Alaska","Forcible rape","Violent Crime","1962","46"
"Alaska","Forcible rape","Violent Crime","1963","37"
"Alaska","Forcible rape","Violent Crime","1964","56"
"Alaska","Forcible rape","Violent Crime","1965","45"
"Alaska","Forcible rape","Violent Crime","1966","53"
"Alaska","Forcible rape","Violent Crime","1967","48"
"Alaska","Forcible rape","Violent Crime","1968","60"
"Alaska","Forcible rape","Violent Crime","1969","83"
"Alaska","Forcible rape","Violent Crime","1970","79"
"Alaska","Forcible rape","Violent Crime","1971","136"
"Alaska","Forcible rape","Violent Crime","1972","136"
"Alaska","Forcible rape","Violent Crime","1973","147"
"Alaska","Forcible rape","Violent Crime","1974","166"
"Alaska","Forcible rape","Violent Crime","1975","157"
"Alaska","Forcible rape","Violent Crime","1976","179"
"Alaska","Forcible rape","Violent Crime","1977","210"
"Alaska","Forcible rape","Violent Crime","1978","224"
"Alaska","Forcible rape","Violent Crime","1979","292"
"Alaska","Forcible rape","Violent Crime","1980","250"
"Alaska","Forcible rape","Violent Crime","1981","421"
"Alaska","Forcible rape","Violent Crime","1982","374"
"Alaska","Forcible rape","Violent Crime","1983","486"
"Alaska","Forcible rape","Violent Crime","1984","458"
"Alaska","Forcible rape","Violent Crime","1985","402"
"Alaska","Forcible rape","Violent Crime","1986","388"
"Alaska","Forcible rape","Violent Crime","1987","341"
"Alaska","Forcible rape","Violent Crime","1988","296"
"Alaska","Forcible rape","Violent Crime","1989","279"
"Alaska","Forcible rape","Violent Crime","1990","401"
"Alaska","Forcible rape","Violent Crime","1991","523"
"Alaska","Forcible rape","Violent Crime","1992","579"
"Alaska","Forcible rape","Violent Crime","1993","502"
"Alaska","Forcible rape","Violent Crime","1994","418"
"Alaska","Forcible rape","Violent Crime","1995","485"
"Alaska","Forcible rape","Violent Crime","1996","398"
"Alaska","Forcible rape","Violent Crime","1997","403"
"Alaska","Forcible rape","Violent Crime","1998","421"
"Alaska","Forcible rape","Violent Crime","1999","517"
"Alaska","Forcible rape","Violent Crime","2000","497"
"Alaska","Forcible rape","Violent Crime","2001","501"
"Alaska","Forcible rape","Violent Crime","2002","511"
"Alaska","Forcible rape","Violent Crime","2003","605"
"Alaska","Forcible rape","Violent Crime","2004","558"
"Alaska","Forcible rape","Violent Crime","2005","538"
"Alaska","Robbery","Violent Crime","1960","64"
"Alaska","Robbery","Violent Crime","1961","29"
"Alaska","Robbery","Violent Crime","1962","34"
"Alaska","Robbery","Violent Crime","1963","55"
"Alaska","Robbery","Violent Crime","1964","53"
"Alaska","Robbery","Violent Crime","1965","101"
"Alaska","Robbery","Violent Crime","1966","98"
"Alaska","Robbery","Violent Crime","1967","96"
"Alaska","Robbery","Violent Crime","1968","146"
"Alaska","Robbery","Violent Crime","1969","190"
"Alaska","Robbery","Violent Crime","1970","217"
"Alaska","Robbery","Violent Crime","1971","210"
"Alaska","Robbery","Violent Crime","1972","216"
"Alaska","Robbery","Violent Crime","1973","221"
"Alaska","Robbery","Violent Crime","1974","298"
"Alaska","Robbery","Violent Crime","1975","456"
"Alaska","Robbery","Violent Crime","1976","477"
"Alaska","Robbery","Violent Crime","1977","394"
"Alaska","Robbery","Violent Crime","1978","368"
"Alaska","Robbery","Violent Crime","1979","445"
"Alaska","Robbery","Violent Crime","1980","360"
"Alaska","Robbery","Violent Crime","1981","472"
"Alaska","Robbery","Violent Crime","1982","586"
"Alaska","Robbery","Violent Crime","1983","465"
"Alaska","Robbery","Violent Crime","1984","547"
"Alaska","Robbery","Violent Crime","1985","484"
"Alaska","Robbery","Violent Crime","1986","470"
"Alaska","Robbery","Violent Crime","1987","384"
"Alaska","Robbery","Violent Crime","1988","374"
"Alaska","Robbery","Violent Crime","1989","356"
"Alaska","Robbery","Violent Crime","1990","422"
"Alaska","Robbery","Violent Crime","1991","645"
"Alaska","Robbery","Violent Crime","1992","640"
"Alaska","Robbery","Violent Crime","1993","733"
"Alaska","Robbery","Violent Crime","1994","886"
"Alaska","Robbery","Violent Crime","1995","937"
"Alaska","Robbery","Violent Crime","1996","710"
"Alaska","Robbery","Violent Crime","1997","648"
"Alaska","Robbery","Violent Crime","1998","532"
"Alaska","Robbery","Violent Crime","1999","566"
"Alaska","Robbery","Violent Crime","2000","490"
"Alaska","Robbery","Violent Crime","2001","514"
"Alaska","Robbery","Violent Crime","2002","489"
"Alaska","Robbery","Violent Crime","2003","446"
"Alaska","Robbery","Violent Crime","2004","447"
"Alaska","Robbery","Violent Crime","2005","537"
"Alaska","Aggravated assault","Violent Crime","1960","102"
"Alaska","Aggravated assault","Violent Crime","1961","121"
"Alaska","Aggravated assault","Violent Crime","1962","134"
"Alaska","Aggravated assault","Violent Crime","1963","164"
"Alaska","Aggravated assault","Violent Crime","1964","240"
"Alaska","Aggravated assault","Violent Crime","1965","215"
"Alaska","Aggravated assault","Violent Crime","1966","223"
"Alaska","Aggravated assault","Violent Crime","1967","267"
"Alaska","Aggravated assault","Violent Crime","1968","251"
"Alaska","Aggravated assault","Violent Crime","1969","321"
"Alaska","Aggravated assault","Violent Crime","1970","507"
"Alaska","Aggravated assault","Violent Crime","1971","724"
"Alaska","Aggravated assault","Violent Crime","1972","821"
"Alaska","Aggravated assault","Violent Crime","1973","868"
"Alaska","Aggravated assault","Violent Crime","1974","1017"
"Alaska","Aggravated assault","Violent Crime","1975","1244"
"Alaska","Aggravated assault","Violent Crime","1976","1364"
"Alaska","Aggravated assault","Violent Crime","1977","1156"
"Alaska","Aggravated assault","Violent Crime","1978","1137"
"Alaska","Aggravated assault","Violent Crime","1979","1203"
"Alaska","Aggravated assault","Violent Crime","1980","1270"
"Alaska","Aggravated assault","Violent Crime","1981","1584"
"Alaska","Aggravated assault","Violent Crime","1982","1691"
"Alaska","Aggravated assault","Violent Crime","1983","1923"
"Alaska","Aggravated assault","Violent Crime","1984","2045"
"Alaska","Aggravated assault","Violent Crime","1985","2094"
"Alaska","Aggravated assault","Violent Crime","1986","2142"
"Alaska","Aggravated assault","Violent Crime","1987","1613"
"Alaska","Aggravated assault","Violent Crime","1988","1983"
"Alaska","Aggravated assault","Violent Crime","1989","1946"
"Alaska","Aggravated assault","Violent Crime","1990","2021"
"Alaska","Aggravated assault","Violent Crime","1991","2289"
"Alaska","Aggravated assault","Violent Crime","1992","2614"
"Alaska","Aggravated assault","Violent Crime","1993","3268"
"Alaska","Aggravated assault","Violent Crime","1994","3302"
"Alaska","Aggravated assault","Violent Crime","1995","3179"
"Alaska","Aggravated assault","Violent Crime","1996","3264"
